ID,grade
53234,B
65407,B
16150,B
59416,B
99940,B
34060,B
20159,B
30055,B
66922,B
1696,B
58952,B
86440,B
18476,B
76125,B
42020,B
43980,B
29449,B
49200,B
49135,B
34245,B
77921,B
57836,B
54644,B
91832,B
68783,B
14554,B
45428,B
91646,B
86976,B
94424,B
93158,B
53565,B
53124,B
77397,B
34187,B
35420,B
78266,B
31660,B
5088,B
94723,B
20500,B
27590,B
77439,B
30899,B
96911,B
18759,B
71812,B
48378,B
17974,B
61197,B
21657,B
78025,B
99961,B
57042,B
85544,B
45294,B
26155,B
8410,B
50538,B
60706,B
67573,B
77680,B
20498,B
81261,B
73987,B
62383,B
11607,B
67999,B
81530,B
8750,B
4368,B
41448,B
5159,B
83392,B
70870,B
28738,B
52384,B
64021,B
28305,B
28941,B
22324,B
94751,B
59801,B
65399,B
42618,B
10109,B
31886,B
18457,B
34841,B
96263,B
16685,B
30404,B
43364,B
96876,B
57498,B
73693,B
34442,B
86034,B
39561,B
64712,B
70485,B
26902,B
3731,B
44271,B
24653,B
81797,B
20513,B
61776,B
12277,B
16988,B
71932,B
24021,B
23779,B
61032,B
24548,B
76708,B
91238,B
16976,B
32970,B
81465,B
35815,B
69358,B
29492,B
35521,B
46995,B
13968,B
97721,B
58737,B
3297,B
5399,B
40678,B
64365,B
24484,B
23236,B
49450,B
31185,B
9299,B
44884,B
38059,B
35597,B
97087,B
184,B
68271,B
9258,B
25911,B
94673,B
78946,B
38721,B
68697,B
43338,B
22532,B
240,B
10186,B
56309,B
438,B
11271,B
92170,B
9232,B
99248,B
98038,B
16713,B
47092,B
81142,B
25970,B
96345,B
28417,B
76580,B
99035,B
49129,B
51135,B
75715,B
46484,B
35170,B
78185,B
20236,B
16847,B
21045,B
68708,B
16969,B
42125,B
51327,B
305,B
23795,B
51372,B
13653,B
86861,B
45803,B
72245,B
90785,B
63971,B
45539,B
13302,B
62451,B
12554,B
6071,B
96853,B
61853,B
87097,B
64519,B
12379,B
53956,B
68171,B
54633,B
32222,B
19364,B
99788,B
29207,B
66560,B
12656,B
87602,B
63760,B
89807,B
86006,B
49784,B
97718,B
21948,B
9160,B
89131,B
1422,B
29171,B
40820,B
38251,B
24796,B
97051,B
19397,B
46586,B
59720,B
72462,B
7886,B
17411,B
61545,B
29231,B
49277,B
30986,B
89216,B
81115,B
98316,B
47503,B
16844,B
42884,B
40360,B
76398,B
23436,B
30121,B
95676,B
10101,B
7838,B
3057,B
65184,B
84685,B
75506,B
70160,B
70590,B
95567,B
95501,B
48881,B
5616,B
43765,B
73747,B
86060,B
90875,B
72348,B
59314,B
26803,B
40276,B
986,B
63656,B
52174,B
57381,B
45893,B
68247,B
85653,B
19532,B
46696,B
83944,B
4690,B
97209,B
97337,B
54464,B
74706,B
80742,B
38625,B
78541,B
36170,B
22340,B
32409,B
19187,B
15005,B
75979,B
59974,B
32057,B
56196,B
26357,B
93241,B
71761,B
66261,B
60217,B
89093,B
63301,B
74832,B
90583,B
60078,B
68006,B
96161,B
34216,B
67794,B
52123,B
22969,B
81387,B
73543,B
82095,B
52670,B
92215,B
50345,B
94717,B
87574,B
61867,B
21170,B
68130,B
72706,B
59384,B
33252,B
89905,B
78217,B
41894,B
24818,B
89580,B
79935,B
94180,B
60528,B
43097,B
67697,B
16221,B
11631,B
20280,B
11224,B
14850,B
82232,B
56395,B
57015,B
75242,B
2930,B
3649,B
84317,B
79126,B
13064,B
24778,B
74084,B
25043,B
87128,B
31170,B
98516,B
1925,B
48076,B
71495,B
84117,B
22403,B
61426,B
54375,B
9928,B
81378,B
77836,B
51744,B
32530,B
7887,B
85841,B
49692,B
61981,B
3570,B
14000,B
88965,B
36788,B
1238,B
18412,B
20792,B
64195,B
97474,B
55223,B
75921,B
43124,B
37811,B
63865,B
50153,B
33982,B
79534,B
75236,B
46691,B
56540,B
73895,B
54437,B
13539,B
46006,B
44175,B
46328,B
60547,B
49471,B
53053,B
6219,B
98787,B
17301,B
6322,B
87220,B
73864,B
55655,B
6245,B
30476,B
64609,B
47462,B
35843,B
46658,B
74221,B
32890,B
37058,B
46408,B
55029,B
64625,B
95165,B
6045,B
55942,B
79486,B
93800,B
7642,B
65587,B
25588,B
46667,B
26328,B
30489,B
15133,B
62410,B
20526,B
76751,B
38270,B
57937,B
71201,B
24213,B
10272,B
19735,B
18413,B
69261,B
13584,B
5095,B
84965,B
28144,B
48835,B
71481,B
44136,B
72891,B
92723,B
74784,B
43965,B
97297,B
84599,B
85683,B
35241,B
76976,B
82633,B
87006,B
46353,B
19467,B
61615,B
63053,B
4725,B
11431,B
28464,B
15938,B
29631,B
35828,B
54970,B
65138,B
8127,B
41371,B
72686,B
12919,B
35408,B
3780,B
33373,B
1432,B
28162,B
63020,B
53265,B
72314,B
50132,B
52423,B
85503,B
41632,B
78640,B
88008,B
35688,B
44035,B
36023,B
44508,B
7484,B
94297,B
36382,B
22762,B
50946,B
74345,B
56675,B
87105,B
60805,B
36401,B
99758,B
89448,B
2408,B
41901,B
33347,B
26399,B
36128,B
24595,B
70337,B
44679,B
51312,B
10557,B
13461,B
74620,B
369,B
83001,B
48830,B
43506,B
52310,B
82438,B
80331,B
33757,B
42552,B
88894,B
60246,B
48158,B
33442,B
2377,B
9301,B
1531,B
84351,B
17178,B
90221,B
94553,B
11710,B
41431,B
3596,B
71502,B
65951,B
52886,B
67204,B
20921,B
77349,B
75297,B
75875,B
1657,B
15014,B
46826,B
1712,B
93810,B
19832,B
69973,B
54089,B
16270,B
50436,B
91075,B
42287,B
63073,B
4720,B
44351,B
9653,B
47939,B
43856,B
39391,B
35759,B
92855,B
63361,B
94720,B
60279,B
98797,B
66656,B
68968,B
23929,B
95095,B
20832,B
43173,B
53850,B
71074,B
31381,B
90146,B
83732,B
62321,B
47810,B
78041,B
17245,B
9679,B
20575,B
15799,B
52988,B
61190,B
83890,B
59057,B
6866,B
87796,B
7170,B
77565,B
41910,B
38222,B
41249,B
84514,B
48269,B
89458,B
82584,B
79419,B
49543,B
24175,B
82286,B
15429,B
88243,B
8619,B
57187,B
54862,B
95484,B
22378,B
37640,B
85265,B
6474,B
92505,B
63651,B
39147,B
60244,B
16737,B
2314,B
34068,B
33060,B
43667,B
57701,B
38402,B
9285,B
75336,B
82128,B
12778,B
54640,B
22681,B
67925,B
20228,B
94259,B
69628,B
78357,B
88048,B
54434,B
70864,B
29079,B
19237,B
82511,B
96412,B
49364,B
59856,B
11441,B
73986,B
13424,B
40791,B
68503,B
99726,B
73316,B
54251,B
83267,B
48402,B
37899,B
48677,B
5056,B
93163,B
8153,B
20430,B
77421,B
55670,B
69752,B
42682,B
6534,B
73101,B
11145,B
93219,B
37928,B
63412,B
11666,B
3311,B
96915,B
74799,B
93464,B
31167,B
48471,B
88992,B
70324,B
25369,B
7303,B
94744,B
15567,B
70668,B
29976,B
23812,B
71158,B
7322,B
24375,B
93376,B
18256,B
95922,B
38230,B
6,B
48771,B
48513,B
11491,B
50660,B
787,B
96017,B
12382,B
18515,B
74512,B
16709,B
25426,B
98896,B
20017,B
28084,B
48943,B
12832,B
30815,B
3787,B
10677,B
94554,B
4083,B
45213,B
16636,B
60159,B
98639,B
20221,B
46652,B
99466,B
64568,B
80457,B
47095,B
12658,B
90289,B
67599,B
22524,B
53635,B
28939,B
35001,B
33142,B
37271,B
9441,B
21159,B
61670,B
43519,B
46848,B
19572,B
14944,B
6470,B
20596,B
19714,B
4589,B
52920,B
13679,B
87177,B
75758,B
86165,B
39528,B
45241,B
21136,B
22284,B
32296,B
56637,B
34585,B
12991,B
55717,B
12585,B
38351,B
78930,B
82173,B
2324,B
38128,B
70024,B
3473,B
17858,B
97530,B
14492,B
82863,B
49563,B
49733,B
87086,B
97372,B
11049,B
85351,B
27506,B
66891,B
10561,B
31701,B
93752,B
11715,B
88595,B
365,B
16718,B
3786,B
48037,B
71959,B
52844,B
89047,B
85560,B
86147,B
22322,B
47285,B
93318,B
32201,B
27845,B
99076,B
9099,B
52230,B
60435,B
80428,B
57713,B
84995,B
86538,B
25608,B
60252,B
75172,B
19341,B
16555,B
87678,B
80254,B
51647,B
76917,B
55656,B
33316,B
37537,B
60277,B
98149,B
41676,B
8598,B
93617,B
30084,B
3481,B
23405,B
12559,B
89791,B
43132,B
49179,B
93873,B
79859,B
816,B
61649,B
68759,B
18766,B
60824,B
70002,B
56528,B
31752,B
58622,B
35687,B
22262,B
67223,B
24191,B
76932,B
56438,B
3368,B
20762,B
74630,B
55773,B
14148,B
49384,B
12321,B
57994,B
97866,B
35142,B
69392,B
50188,B
84220,B
9069,B
30611,B
94740,B
31965,B
12869,B
47161,B
18232,B
87730,B
19720,B
49480,B
58103,B
99386,B
85246,B
57461,B
14518,B
43858,B
96018,B
41438,B
21677,B
73936,B
8920,B
63095,B
88804,B
61817,B
15018,B
23760,B
32376,B
17509,B
10260,B
55327,B
81275,B
6775,B
25800,B
54760,B
32640,B
20745,B
73904,B
51290,B
29542,B
20371,B
99760,B
25517,B
81092,B
86476,B
32980,B
23855,B
24695,B
94671,B
82767,B
22804,B
81735,B
80583,B
98939,B
77050,B
2896,B
44133,B
21858,B
26092,B
33527,B
90347,B
13080,B
51984,B
80000,B
59371,B
89368,B
27127,B
93458,B
27176,B
65145,B
63459,B
45239,B
41534,B
28397,B
8337,B
385,B
80102,B
99436,B
67183,B
57166,B
32198,B
32103,B
52183,B
41836,B
13865,B
97901,B
36206,B
27323,B
74821,B
78135,B
69604,B
98472,B
26392,B
47687,B
3358,B
40417,B
65797,B
95950,B
77957,B
91768,B
8807,B
78247,B
17277,B
82433,B
18485,B
8174,B
97571,B
82096,B
55757,B
90611,B
8296,B
96863,B
66361,B
31736,B
58441,B
81785,B
76244,B
99706,B
28524,B
31201,B
6063,B
35318,B
49702,B
98891,B
35285,B
41176,B
62193,B
70782,B
37632,B
77192,B
15842,B
50485,B
31895,B
79354,B
29100,B
48987,B
41850,B
18785,B
3437,B
44903,B
76387,B
89643,B
42407,B
63125,B
66256,B
58326,B
87939,B
90126,B
10309,B
34325,B
40667,B
28686,B
69831,B
94169,B
95773,B
41520,B
44276,B
65439,B
18557,B
72116,B
18224,B
31151,B
52762,B
34425,B
4836,B
37168,B
85078,B
62742,B
52216,B
10990,B
67097,B
73127,B
57780,B
77039,B
18829,B
98856,B
95631,B
55115,B
37680,B
93651,B
56267,B
94243,B
30565,B
2349,B
22917,B
63560,B
27030,B
11783,B
54517,B
3239,B
10879,B
72867,B
28636,B
2891,B
90725,B
32721,B
41157,B
22810,B
87118,B
62736,B
85042,B
13797,B
4800,B
21837,B
50752,B
10281,B
87989,B
17315,B
32760,B
37430,B
79886,B
8046,B
86355,B
93709,B
93648,B
72993,B
23153,B
85569,B
61657,B
7194,B
59049,B
88861,B
37723,B
69591,B
35940,B
9136,B
49759,B
51604,B
37539,B
45850,B
92553,B
21691,B
28720,B
68397,B
64601,B
19236,B
59644,B
77199,B
25233,B
88379,B
29953,B
19272,B
9555,B
80463,B
86916,B
37744,B
33361,B
40295,B
26820,B
97973,B
20654,B
44138,B
19923,B
67931,B
75695,B
8600,B
68837,B
12708,B
27907,B
76652,B
21328,B
98612,B
70242,B
98361,B
21420,B
9807,B
30599,B
45280,B
8990,B
16775,B
53162,B
28115,B
15531,B
57126,B
27679,B
84963,B
18819,B
16178,B
61355,B
69622,B
4449,B
3237,B
75965,B
44812,B
84457,B
43462,B
44409,B
89825,B
16131,B
73405,B
75727,B
25270,B
87864,B
60333,B
51865,B
67739,B
62204,B
75153,B
52013,B
44607,B
79412,B
99166,B
15310,B
42895,B
37840,B
79103,B
73648,B
78512,B
34806,B
66368,B
3221,B
32671,B
86037,B
46323,B
79097,B
16532,B
87106,B
38442,B
85227,B
10025,B
56241,B
81218,B
59290,B
89963,B
69227,B
59520,B
85756,B
89226,B
82885,B
13301,B
30851,B
43524,B
65740,B
90170,B
12482,B
10612,B
26866,B
6505,B
64645,B
96151,B
84986,B
37815,B
49728,B
36071,B
22021,B
35997,B
72338,B
33581,B
36127,B
63528,B
98792,B
33360,B
6033,B
49623,B
33984,B
66595,B
14417,B
38398,B
93921,B
92009,B
44021,B
41841,B
24499,B
5737,B
33263,B
49707,B
16069,B
63923,B
30217,B
20805,B
78672,B
51279,B
6795,B
99018,B
66470,B
91358,B
88027,B
90963,B
67000,B
61567,B
87370,B
1725,B
18816,B
78582,B
55356,B
85597,B
96411,B
14346,B
51952,B
86579,B
15446,B
98884,B
80795,B
56504,B
70585,B
53131,B
99943,B
22745,B
52949,B
2080,B
69206,B
19972,B
25471,B
98700,B
61031,B
87264,B
65781,B
24077,B
56994,B
94736,B
24089,B
15755,B
25,B
35680,B
77345,B
79433,B
72153,B
85287,B
98593,B
69998,B
87515,B
12414,B
52666,B
70482,B
76607,B
28783,B
75896,B
34019,B
43307,B
74154,B
25476,B
74041,B
80120,B
47677,B
74953,B
59327,B
49531,B
4363,B
918,B
4216,B
74200,B
56069,B
37411,B
77722,B
86894,B
23409,B
60727,B
95420,B
79357,B
88195,B
5935,B
32824,B
6490,B
10590,B
10725,B
47639,B
75456,B
97424,B
88169,B
70363,B
59986,B
30735,B
56836,B
57156,B
77080,B
91562,B
89613,B
4801,B
81552,B
30185,B
6680,B
22694,B
19420,B
68739,B
53952,B
58204,B
95959,B
11698,B
93613,B
92367,B
66558,B
93027,B
46342,B
18508,B
28606,B
6947,B
47156,B
37610,B
80864,B
62202,B
6753,B
11341,B
61602,B
20061,B
89495,B
18049,B
44433,B
72644,B
6703,B
60013,B
36182,B
57835,B
63945,B
97054,B
55046,B
2648,B
45195,B
54972,B
62482,B
52,B
96350,B
57904,B
11744,B
52585,B
53940,B
73639,B
57485,B
77433,B
65773,B
28386,B
29202,B
66168,B
70892,B
92514,B
14319,B
75023,B
68287,B
58752,B
58478,B
69061,B
48006,B
50805,B
17348,B
51418,B
91027,B
2463,B
17554,B
79592,B
72222,B
38254,B
69674,B
4992,B
36769,B
95035,B
18135,B
82601,B
28275,B
60917,B
63019,B
5081,B
45131,B
4490,B
47809,B
88366,B
81950,B
75936,B
69222,B
96532,B
92982,B
20660,B
91148,B
80735,B
89008,B
33093,B
613,B
71385,B
91515,B
47499,B
44770,B
66971,B
24267,B
66896,B
24912,B
88431,B
42967,B
7794,B
65947,B
78373,B
43093,B
76236,B
51701,B
71415,B
61815,B
49306,B
22701,B
29404,B
98857,B
64040,B
60955,B
8258,B
78321,B
93470,B
93819,B
47756,B
92851,B
94342,B
38514,B
86426,B
8854,B
21478,B
31056,B
97053,B
3729,B
33623,B
47893,B
46452,B
13518,B
63390,B
17370,B
45018,B
69909,B
3398,B
83191,B
64384,B
76261,B
34545,B
66975,B
12734,B
75548,B
53172,B
28848,B
80557,B
73406,B
24637,B
30983,B
56777,B
79761,B
37153,B
46181,B
92376,B
26,B
15682,B
98656,B
56965,B
56206,B
60800,B
8364,B
50747,B
45740,B
79286,B
74241,B
28483,B
61323,B
94467,B
43566,B
43794,B
15109,B
95327,B
9698,B
83624,B
91096,B
49292,B
14258,B
3126,B
13426,B
53392,B
31933,B
47745,B
94500,B
20150,B
67419,B
2055,B
8963,B
83827,B
68148,B
48855,B
93989,B
55127,B
62751,B
61785,B
90026,B
98467,B
14263,B
60834,B
12806,B
75033,B
9925,B
64867,B
71159,B
76542,B
70221,B
60305,B
78606,B
5061,B
28015,B
22329,B
4644,B
90740,B
60685,B
54364,B
7016,B
58757,B
52089,B
43784,B
61717,B
14844,B
61395,B
7647,B
74433,B
79849,B
35487,B
21694,B
76057,B
19996,B
92765,B
82222,B
86780,B
23387,B
7864,B
14136,B
1879,B
23219,B
22647,B
89554,B
6651,B
54062,B
26191,B
33579,B
50759,B
63734,B
50050,B
57379,B
54688,B
50598,B
98117,B
51539,B
21648,B
70397,B
16683,B
28113,B
28592,B
14318,B
10436,B
76498,B
9837,B
48228,B
79920,B
28539,B
17433,B
1155,B
51597,B
53694,B
78021,B
69513,B
24624,B
81062,B
41049,B
17851,B
97177,B
33517,B
15548,B
96125,B
39213,B
87998,B
11682,B
83005,B
50255,B
81997,B
9613,B
68802,B
51278,B
72356,B
97739,B
40124,B
14069,B
55222,B
75746,B
71704,B
66449,B
39065,B
2636,B
67984,B
38600,B
5423,B
43904,B
72677,B
11898,B
698,B
3942,B
2805,B
61764,B
65730,B
85829,B
92141,B
85008,B
39337,B
1353,B
64524,B
95286,B
37630,B
26110,B
13375,B
54492,B
18137,B
92822,B
95721,B
91469,B
31242,B
23676,B
4414,B
81876,B
6259,B
13963,B
44538,B
8384,B
8393,B
59918,B
48280,B
10509,B
64932,B
44031,B
98053,B
62974,B
38837,B
55533,B
72897,B
574,B
15789,B
43606,B
25833,B
29385,B
41664,B
43737,B
59933,B
6062,B
50944,B
74795,B
24423,B
932,B
27462,B
47548,B
22707,B
97743,B
11005,B
7338,B
5390,B
35354,B
80394,B
53703,B
72828,B
11579,B
57101,B
26827,B
48007,B
48300,B
67543,B
23602,B
78029,B
82413,B
38749,B
82060,B
36166,B
66333,B
96860,B
92864,B
50690,B
75257,B
89189,B
44755,B
62177,B
90316,B
61029,B
36299,B
19032,B
97947,B
4661,B
43725,B
25016,B
92207,B
25422,B
67190,B
80333,B
47045,B
24872,B
51542,B
68000,B
88058,B
16791,B
69083,B
1514,B
79042,B
57798,B
87156,B
85420,B
28806,B
59046,B
91958,B
47560,B
83462,B
47688,B
879,B
44302,B
64045,B
66950,B
64461,B
13962,B
79303,B
57110,B
87905,B
87851,B
79673,B
78056,B
75484,B
47423,B
66012,B
49064,B
62298,B
78708,B
7773,B
64236,B
43239,B
21249,B
86100,B
32000,B
84288,B
70028,B
97502,B
43498,B
9960,B
52566,B
96970,B
33192,B
52074,B
93531,B
95967,B
99298,B
4517,B
81131,B
73837,B
66771,B
52262,B
54800,B
29000,B
6484,B
66596,B
22514,B
22127,B
69753,B
57709,B
98119,B
91173,B
91249,B
44365,B
1194,B
39400,B
68283,B
89911,B
36287,B
66097,B
4341,B
81396,B
82607,B
1336,B
28225,B
56615,B
55303,B
39500,B
42939,B
1591,B
57438,B
59841,B
51708,B
33225,B
25722,B
86340,B
75692,B
19711,B
46852,B
9949,B
88745,B
74158,B
86051,B
95025,B
56898,B
48630,B
42543,B
13201,B
43872,B
51475,B
17803,B
21781,B
32870,B
8888,B
375,B
2008,B
6469,B
83576,B
97558,B
53966,B
95208,B
56669,B
97810,B
89377,B
17387,B
18101,B
24037,B
53775,B
98416,B
36051,B
16065,B
20342,B
55866,B
8771,B
32120,B
93636,B
65902,B
55750,B
8022,B
62578,B
7191,B
73785,B
85460,B
48486,B
46377,B
84737,B
88607,B
4124,B
36331,B
5976,B
32661,B
92089,B
83488,B
33125,B
12124,B
61235,B
31437,B
61852,B
44329,B
79519,B
44372,B
96747,B
21131,B
20169,B
57360,B
54243,B
89681,B
91803,B
9509,B
88390,B
78310,B
73219,B
47086,B
1319,B
95269,B
67661,B
13085,B
19330,B
36543,B
72560,B
38509,B
37459,B
63538,B
36242,B
33751,B
26730,B
59128,B
7576,B
67937,B
8851,B
47535,B
51082,B
45830,B
27560,B
46077,B
72110,B
99756,B
50882,B
52266,B
50987,B
67950,B
4446,B
41325,B
36062,B
24846,B
29973,B
75395,B
71613,B
68531,B
5701,B
73118,B
8154,B
12992,B
33849,B
14360,B
63484,B
32806,B
45188,B
61406,B
6835,B
13996,B
81161,B
16883,B
63611,B
87759,B
60365,B
40756,B
3593,B
42571,B
64387,B
33111,B
98945,B
97462,B
34328,B
28572,B
94036,B
83131,B
15635,B
54007,B
66817,B
88604,B
37298,B
39871,B
39067,B
801,B
20629,B
86158,B
20768,B
53318,B
17490,B
13105,B
54386,B
63221,B
40649,B
42080,B
18228,B
4439,B
45522,B
20802,B
23604,B
30033,B
68346,B
49348,B
48439,B
29621,B
34811,B
51894,B
2245,B
69124,B
47344,B
71387,B
70360,B
87054,B
93733,B
35846,B
51962,B
56226,B
20334,B
93668,B
95452,B
6271,B
34197,B
12243,B
6903,B
21685,B
40239,B
18770,B
92358,B
55288,B
32262,B
49791,B
9045,B
29189,B
88970,B
93537,B
3613,B
68469,B
26267,B
63748,B
10995,B
20936,B
1448,B
46971,B
41185,B
67625,B
27404,B
59324,B
46847,B
42015,B
93845,B
24383,B
77594,B
23184,B
82445,B
24466,B
46416,B
92156,B
98151,B
39429,B
93303,B
75529,B
54207,B
90152,B
76864,B
17674,B
74508,B
73152,B
77412,B
71037,B
77548,B
21532,B
45050,B
47157,B
51522,B
17896,B
40940,B
55440,B
8243,B
33022,B
24705,B
3858,B
74550,B
92739,B
72482,B
83181,B
53132,B
41818,B
69494,B
82004,B
54409,B
34802,B
16208,B
39334,B
98138,B
43772,B
76268,B
89424,B
58209,B
4356,B
86846,B
61375,B
90779,B
43126,B
19676,B
45323,B
70072,B
13833,B
95925,B
20810,B
22078,B
90303,B
42073,B
74991,B
26683,B
74556,B
17835,B
2067,B
26717,B
56832,B
54696,B
65812,B
61856,B
83652,B
10429,B
71950,B
18477,B
76315,B
16978,B
57576,B
60064,B
79788,B
28528,B
22504,B
51136,B
5723,B
65362,B
5749,B
45746,B
54570,B
49508,B
65380,B
68663,B
30374,B
26408,B
13947,B
6016,B
28230,B
65091,B
19421,B
33794,B
54718,B
85513,B
47349,B
16279,B
18367,B
57813,B
51206,B
23848,B
43249,B
21242,B
97559,B
49800,B
79166,B
80234,B
33108,B
74828,B
27531,B
73479,B
26685,B
19325,B
52536,B
12174,B
9596,B
87761,B
47277,B
3108,B
28314,B
4127,B
67391,B
69421,B
69611,B
8834,B
33520,B
64485,B
63962,B
30777,B
41966,B
36872,B
42583,B
53762,B
37121,B
68506,B
56122,B
97282,B
98122,B
93011,B
41596,B
30856,B
22401,B
12221,B
3909,B
77544,B
39470,B
17593,B
26933,B
88755,B
46498,B
72720,B
51420,B
46135,B
49148,B
7580,B
86431,B
46835,B
79211,B
33714,B
93070,B
38146,B
67855,B
21406,B
77242,B
35226,B
34365,B
96167,B
71590,B
9858,B
33542,B
63647,B
19573,B
97489,B
44422,B
80436,B
47710,B
57184,B
89902,B
2319,B
53211,B
4128,B
87087,B
88015,B
866,B
61697,B
38249,B
58633,B
52243,B
96533,B
36205,B
90011,B
98012,B
18497,B
77622,B
28974,B
21869,B
14270,B
62465,B
99669,B
41150,B
82545,B
4022,B
17676,B
31946,B
96993,B
63562,B
26086,B
57938,B
17174,B
56912,B
81885,B
77153,B
47475,B
56901,B
61587,B
4292,B
97593,B
91779,B
54820,B
7244,B
50910,B
28002,B
71228,B
66784,B
32430,B
23195,B
72622,B
54995,B
79775,B
25897,B
95740,B
46588,B
10069,B
45095,B
73520,B
22433,B
27005,B
35311,B
11902,B
86519,B
98488,B
5877,B
13438,B
74609,B
6611,B
16951,B
89318,B
23535,B
84390,B
87744,B
15011,B
6543,B
88681,B
34746,B
6472,B
63787,B
21830,B
90863,B
4419,B
9565,B
88304,B
65570,B
83793,B
83551,B
28990,B
43576,B
5762,B
66545,B
38951,B
9351,B
48094,B
29528,B
88116,B
30699,B
62456,B
58705,B
63641,B
7466,B
22212,B
64297,B
27595,B
48183,B
59153,B
70133,B
76488,B
31013,B
77970,B
83766,B
34218,B
25532,B
22342,B
81219,B
8329,B
98413,B
28858,B
41455,B
382,B
62617,B
97562,B
31474,B
6595,B
60411,B
83610,B
3946,B
67416,B
9692,B
22275,B
77416,B
47478,B
98777,B
61372,B
12009,B
67885,B
13150,B
19971,B
80004,B
8749,B
60383,B
31122,B
82818,B
75391,B
78343,B
56689,B
83230,B
77200,B
95051,B
21806,B
58915,B
69520,B
35155,B
96157,B
22348,B
48949,B
44791,B
85139,B
51644,B
82235,B
66914,B
38663,B
3243,B
89662,B
70326,B
20035,B
51149,B
19307,B
52057,B
38968,B
64359,B
81660,B
46357,B
3241,B
79100,B
47896,B
79870,B
32165,B
88011,B
13234,B
55113,B
62227,B
41186,B
11412,B
38491,B
70437,B
85146,B
14870,B
86854,B
21983,B
17416,B
78258,B
89517,B
10539,B
38344,B
18647,B
47675,B
33736,B
65028,B
84684,B
20089,B
34327,B
42562,B
46946,B
43736,B
77760,B
74592,B
94364,B
41081,B
1751,B
97541,B
97073,B
73530,B
64346,B
69766,B
84620,B
65023,B
54695,B
30256,B
19072,B
35368,B
27922,B
5517,B
10699,B
92528,B
64865,B
32453,B
15532,B
46282,B
87581,B
68551,B
98342,B
57282,B
17860,B
16432,B
30630,B
7957,B
76226,B
19250,B
67733,B
46003,B
95761,B
41329,B
30744,B
62186,B
66662,B
12807,B
32338,B
81029,B
29927,B
34434,B
74047,B
9246,B
97454,B
99533,B
1602,B
17983,B
49937,B
56,B
17252,B
46950,B
85611,B
61912,B
60248,B
54199,B
1481,B
20457,B
16795,B
61070,B
71021,B
85600,B
8320,B
95981,B
99951,B
37286,B
91935,B
21438,B
6051,B
94340,B
95466,B
64416,B
57357,B
96528,B
75305,B
42290,B
2201,B
1057,B
58777,B
9333,B
92966,B
69997,B
95295,B
60676,B
93078,B
59162,B
2749,B
26860,B
9768,B
56531,B
68946,B
66644,B
41331,B
14974,B
94872,B
88649,B
69441,B
59310,B
53412,B
32693,B
40106,B
21635,B
82585,B
47527,B
4953,B
54025,B
47572,B
187,B
8091,B
1623,B
51482,B
25251,B
10563,B
7989,B
36755,B
57568,B
89577,B
85744,B
67033,B
54079,B
77428,B
24896,B
464,B
60245,B
91302,B
98630,B
29560,B
43183,B
64554,B
57952,B
10744,B
43072,B
99075,B
54811,B
34905,B
49581,B
30749,B
9461,B
24492,B
40104,B
80944,B
10152,B
82704,B
